date,rm,rf
2011-01-03,,1.15832795337667e-05
2011-01-04,-0.0013130618746926004,1.1184411752962475e-05
2011-01-05,0.005007170717486353,1.238089627197958e-05
2011-01-06,-0.00212295769469939,1.198210770403385e-05
2011-01-07,-0.0018447823874668812,1.15832795337667e-05
2011-01-10,-0.001376327172630698,1.15832795337667e-05
2011-01-11,0.003725126993502803,1.1184411752962475e-05
2011-01-12,0.009007580487847333,1.038655732887861e-05
2011-01-13,-0.0017107461093028853,1.038655732887861e-05
2011-01-14,0.007384542224523782,1.0785504354071662e-05
2011-01-18,0.0013764111949552404,1.038655732887861e-05
2011-01-19,-0.010115655200450102,1.0785504354071662e-05
2011-01-20,-0.0012949590793667198,1.0785504354071662e-05
2011-01-21,0.00241354566718055,1.0785504354071662e-05
2011-01-24,0.005836280157455631,1.1184411752962475e-05
2011-01-25,0.0002634625584563288,1.0785504354071662e-05
2011-01-26,0.004220907055616729,1.0785504354071662e-05
2011-01-27,0.0022443056143837126,9.9875706698338e-06
2011-01-28,-0.017852526512266986,9.588544368721585e-06
2011-01-31,0.0076625579865294835,1.038655732887861e-05
2011-02-01,0.016693598640459717,1.0785504354071662e-05
2011-02-02,-0.00272251783247468,1.1184411752962475e-05
2011-02-03,0.0023541996209659466,1.15832795337667e-05
2011-02-04,0.002884262159912998,1.238089627197958e-05
2011-02-07,0.0062401718181062105,1.238089627197958e-05
2011-02-08,0.0041847517493251996,1.238089627197958e-05
2011-02-09,-0.00278576530529262,1.198210770403385e-05
2011-02-10,0.000749492759563708,1.198210770403385e-05
2011-02-11,0.005507371396231697,1.198210770403385e-05
2011-02-14,0.0023849241566127333,1.198210770403385e-05
2011-02-15,-0.0032349106631179847,1.198210770403385e-05
2011-02-16,0.006257434761353986,1.15832795337667e-05
2011-02-17,0.0030756915754364123,1.0785504354071662e-05
2011-02-18,0.0019247225860843376,1.1184411752962475e-05
2011-02-22,-0.02052856553168947,1.1184411752962475e-05
2011-02-23,-0.006111960530777338,1.0785504354071662e-05
2011-02-24,-0.0009943766071095483,1.038655732887861e-05
2011-02-25,0.010550516233988505,1.0785504354071662e-05
2011-02-28,0.005561085835223301,9.9875706698338e-06
2011-03-01,-0.01573967801604148,9.9875706698338e-06
2011-03-02,0.0016152006545580022,1.038655732887861e-05
2011-03-03,0.017219002029837727,1.15832795337667e-05
2011-03-04,-0.007378037982796792,1.038655732887861e-05
2011-03-07,-0.008341232108246999,9.9875706698338e-06
2011-03-08,0.00892273358780149,1.038655732887861e-05
2011-03-09,-0.0013617028593394531,1.038655732887861e-05
2011-03-10,-0.018870952426918386,9.9875706698338e-06
2011-03-11,0.007080513706332114,9.588544368721585e-06
2011-03-14,-0.006049325163745234,8.790372808986646e-06
2011-03-15,-0.011200348530916449,9.189478417770403e-06
2011-03-16,-0.019494948861799366,8.3912275348208e-06
2011-03-17,0.013398228894571318,9.588544368721585e-06
2011-03-18,0.004310201712304007,9.189478417770403e-06
2011-03-21,0.014985846408680281,9.9875706698338e-06
2011-03-22,-0.0035505668465681817,9.9875706698338e-06
2011-03-23,0.002913979255756871,9.588544368721585e-06
2011-03-24,0.009340748366686746,1.038655732887861e-05
2011-03-25,0.0031611371596607096,1.198210770403385e-05
2011-03-28,-0.002747836706771034,1.198210770403385e-05
2011-03-29,0.00706004504426283,1.238089627197958e-05
2011-03-30,0.006684706689502828,1.198210770403385e-05
2011-03-31,-0.0018295017404008629,1.198210770403385e-05
2011-04-01,0.004962987878062375,1.0785504354071662e-05
2011-04-04,0.00034520979898289283,9.588544368721585e-06
2011-04-05,-0.0001800550698120018,1.198210770403385e-05
2011-04-06,0.002183677381629945,1.15832795337667e-05
2011-04-07,-0.0015200060954518868,1.0785504354071662e-05
2011-04-08,-0.0040044438811523975,1.0785504354071662e-05
2011-04-11,-0.0027933795200096867,1.038655732887861e-05
2011-04-12,-0.007776699412055721,9.588544368721585e-06
2011-04-13,0.00019023558283004505,9.189478417770403e-06
2011-04-14,8.367708489354087e-05,9.9875706698338e-06
2011-04-15,0.003925413018814217,9.588544368721585e-06
2011-04-18,-0.011017851604204099,9.588544368721585e-06
2011-04-19,0.005731170536519059,9.588544368721585e-06
2011-04-20,0.013514947256307863,9.588544368721585e-06
2011-04-21,0.00527678228385664,9.189478417770403e-06
2011-04-25,-0.0015926699906060326,9.189478417770403e-06
2011-04-26,0.008979584347500458,8.790372808986646e-06
2011-04-27,0.006249847141191145,8.790372808986646e-06
2011-04-28,0.0035554238371831026,9.189478417770403e-06
2011-04-29,0.002300662300080303,8.790372808986646e-06
2011-05-02,-0.001752710838356042,8.790372808986646e-06
2011-05-03,-0.003379303931766886,7.992042586835169e-06
2011-05-04,-0.006855308807386384,7.59281795770228e-06
2011-05-05,-0.009069835295082984,7.992042586835169e-06
2011-05-06,0.003819919924858084,7.19355363898444e-06
2011-05-09,0.0045441637238203825,6.7942496231321314e-06
2011-05-10,0.008074036563528342,7.59281795770228e-06
2011-05-11,-0.011111495786944148,7.19355363898444e-06
2011-05-12,0.004895437094211363,7.19355363898444e-06
2011-05-13,-0.00806732940821131,7.59281795770228e-06
2011-05-16,-0.006204391544071153,7.19355363898444e-06
2011-05-17,-0.0003685611639887565,7.59281795770228e-06
2011-05-18,0.008803800039184795,7.59281795770228e-06
2011-05-19,0.0021779409571196506,7.59281795770228e-06
2011-05-20,-0.0076882674788020244,7.19355363898444e-06
2011-05-23,-0.011925585036405395,7.992042586835169e-06
2011-05-24,-0.0008273803139109415,7.992042586835169e-06
2011-05-25,0.003183169164378441,7.19355363898444e-06
2011-05-26,0.003953115265504348,7.19355363898444e-06
2011-05-27,0.004080920306236191,7.19355363898444e-06
2011-05-31,0.010592724253794206,7.19355363898444e-06
2011-06-01,-0.02278464400568514,7.19355363898444e-06
2011-06-02,-0.0012248358297386464,7.59281795770228e-06
2011-06-03,-0.00973380929387091,7.19355363898444e-06
2011-06-06,-0.010760206154744822,7.19355363898444e-06
2011-06-07,-0.0009564077516330816,7.19355363898444e-06
2011-06-08,-0.0041868742875353915,7.19355363898444e-06
2011-06-09,0.0073774895782363625,7.59281795770228e-06
2011-06-10,-0.01397984484096193,7.59281795770228e-06
2011-06-13,0.0006687564032283877,7.19355363898444e-06
2011-06-14,0.012611779526287448,7.59281795770228e-06
2011-06-15,-0.017431845673211765,7.59281795770228e-06
2011-06-16,0.0017543352584985517,7.19355363898444e-06
2011-06-17,0.003045016687959423,6.7942496231321314e-06
2011-06-20,0.005395190719622578,7.19355363898444e-06
2011-06-21,0.013423476330104211,7.19355363898444e-06
2011-06-22,-0.006468448862720022,6.3949059021517485e-06
2011-06-23,-0.00282798682162011,5.9955224680496855e-06
2011-06-24,-0.011725788079470112,6.3949059021517485e-06
2011-06-27,0.009184457763442344,7.19355363898444e-06
2011-06-28,0.012944354590004314,8.3912275348208e-06
2011-06-29,0.0082827470640634,7.59281795770228e-06
2011-06-30,0.010119228593896468,7.59281795770228e-06
2011-07-01,0.014409701950459208,7.992042586835169e-06
2011-07-05,-0.001336179015136607,7.59281795770228e-06
2011-07-06,0.001001559179442335,7.59281795770228e-06
2011-07-07,0.010453846495095398,7.992042586835169e-06
2011-07-08,-0.006961116597354766,6.7942496231321314e-06
2011-07-11,-0.018090532901892997,6.7942496231321314e-06
2011-07-12,-0.004433512223916192,7.19355363898444e-06
2011-07-13,0.003105840225185341,6.3949059021517485e-06
2011-07-14,-0.006716128005014532,5.9955224680496855e-06
2011-07-15,0.005554424830404914,5.9955224680496855e-06
2011-07-18,-0.008129890344531376,5.9955224680496855e-06
2011-07-19,0.016308708146076212,6.7942496231321314e-06
2011-07-20,-0.0006708328095518246,7.59281795770228e-06
2011-07-21,0.013546192195566853,7.992042586835169e-06
2011-07-22,0.0009078515817200206,7.992042586835169e-06
2011-07-25,-0.005643013402878538,7.992042586835169e-06
2011-07-26,-0.004104972057103029,8.3912275348208e-06
2011-07-27,-0.02030866795667341,8.3912275348208e-06
2011-07-28,-0.00323396681060506,8.3912275348208e-06
2011-07-29,-0.0064505329685289325,7.992042586835169e-06
2011-08-01,-0.0041322994089231235,8.790372808986646e-06
2011-08-02,-0.025556664263946538,6.7942496231321314e-06
2011-08-03,0.005015682591787973,6.3949059021517485e-06
2011-08-04,-0.047820446566716246,4.797133808187581e-06
2011-08-05,-0.0005749173223609239,4.397591442550919e-06
2011-08-08,-0.0666344641955241,4.797133808187581e-06
2011-08-09,0.04740684780953952,4.397591442550919e-06
2011-08-10,-0.04415240353729144,3.5983874455691733e-06
2011-08-11,0.046290021536367965,3.9980093242686365e-06
2011-08-12,0.005261669328246343,4.397591442550919e-06
2011-08-15,0.02178462153757388,4.797133808187581e-06
2011-08-16,-0.009738545025185341,4.797133808187581e-06
2011-08-17,0.0009473867253479984,4.797133808187581e-06
2011-08-18,-0.04459371494115383,3.9980093242686365e-06
2011-08-19,-0.015008981405150057,3.9980093242686365e-06
2011-08-22,0.0002580411671400107,3.5983874455691733e-06
2011-08-23,0.03428487822906101,3.9980093242686365e-06
2011-08-24,0.013119972740464947,4.397591442550919e-06
2011-08-25,-0.015565520018319012,3.9980093242686365e-06
2011-08-26,0.015121609890334176,3.5983874455691733e-06
2011-08-29,0.028280001371753904,3.5983874455691733e-06
2011-08-30,0.0023470250754240585,3.5983874455691733e-06
2011-08-31,0.0049219823099897475,3.9980093242686365e-06
2011-09-01,-0.011871432879036248,3.9980093242686365e-06
2011-09-02,-0.02528193810099022,3.9980093242686365e-06
2011-09-06,-0.007436289867417734,5.196636428950185e-06
2011-09-07,0.028646463635358055,4.397591442550919e-06
2011-09-08,-0.010612179884417872,4.797133808187581e-06
2011-09-09,-0.02670549233414976,4.397591442550919e-06
2011-09-12,0.006965717525375448,4.397591442550919e-06
2011-09-13,0.009120062307035992,3.9980093242686365e-06
2011-09-14,0.013479805150953483,3.5983874455691733e-06
2011-09-15,0.0171870731163124,3.9980093242686365e-06
2011-09-16,0.005706697559031415,3.5983874455691733e-06
2011-09-19,-0.009802587069163926,3.198725798236879e-06
2011-09-20,-0.0016610054534745844,3.5983874455691733e-06
2011-09-21,-0.02939044247874545,4.397591442550919e-06
2011-09-22,-0.03188312136272142,3.9980093242686365e-06
2011-09-23,0.006082009491449325,3.9980093242686365e-06
2011-09-26,0.023336145420173926,3.9980093242686365e-06
2011-09-27,0.01068838258199456,3.9980093242686365e-06
2011-09-28,-0.02069113469392403,4.797133808187581e-06
2011-09-29,0.008114229076903623,4.397591442550919e-06
2011-09-30,-0.024974129093951247,5.196636428950185e-06
2011-10-03,-0.02845102857308046,4.797133808187581e-06
2011-10-04,0.022488443228231514,4.397591442550919e-06
2011-10-05,0.017865633591721997,3.9980093242686365e-06
2011-10-06,0.018303664649697682,3.5983874455691733e-06
2011-10-07,-0.008163309129622154,4.397591442550919e-06
2011-10-11,0.03412498514087403,4.797133808187581e-06
2011-10-12,0.0005440032068557699,3.5983874455691733e-06
2011-10-13,0.009794704165487111,4.397591442550919e-06
2011-10-14,-0.0029736723959411515,4.397591442550919e-06
2011-10-17,0.01738025805382848,4.797133808187581e-06
2011-10-18,-0.019369883431278323,4.797133808187581e-06
2011-10-19,0.020418716841497542,4.397591442550919e-06
2011-10-20,-0.012649137358822782,4.797133808187581e-06
2011-10-21,0.004554178908014794,4.797133808187581e-06
2011-10-24,0.01880876485561722,4.397591442550919e-06
2011-10-25,0.012872958610942842,4.397591442550919e-06
2011-10-26,-0.020044724629154187,5.196636428950185e-06
2011-10-27,0.010536553015507044,5.596099312832337e-06
2011-10-28,0.03429143800322065,5.196636428950185e-06
2011-10-31,0.0003892292585445656,4.797133808187581e-06
2011-11-01,-0.02473750308622369,5.196636428950185e-06
2011-11-02,-0.02794224737160278,4.397591442550919e-06
2011-11-03,0.01610466767324814,4.397591442550919e-06
2011-11-04,0.018781807536341066,4.397591442550919e-06
2011-11-07,-0.0062800173248857005,3.5983874455691733e-06
2011-11-08,0.006295743898498074,3.9980093242686365e-06
2011-11-09,0.011735639002377285,3.9980093242686365e-06
2011-11-10,-0.03669514263073992,3.9980093242686365e-06
2011-11-14,0.00862417639490709,3.5983874455691733e-06
2011-11-15,0.019480540416670467,4.397591442550919e-06
2011-11-16,-0.00955014220770134,4.397591442550919e-06
2011-11-17,0.00481716424635481,3.9980093242686365e-06
2011-11-18,-0.01661620119067586,4.797133808187581e-06
2011-11-21,-0.016799951838696092,4.397591442550919e-06
2011-11-22,-0.0003946790211790674,4.397591442550919e-06
2011-11-23,-0.018648495498240547,4.797133808187581e-06
2011-11-25,-0.0041408414917407654,5.196636428950185e-06
2011-11-28,-0.022095214923981144,5.196636428950185e-06
2011-11-29,-0.0026855067570432656,5.596099312832337e-06
2011-11-30,0.02924042541312133,4.797133808187581e-06
2011-12-01,0.002213653005350924,4.797133808187581e-06
2011-12-02,0.043315307654517854,4.797133808187581e-06
2011-12-05,-0.001908645886345317,4.397591442550919e-06
2011-12-06,-0.0002409865260597499,4.397591442550919e-06
2011-12-07,0.010287014740795186,4.397591442550919e-06
2011-12-08,0.001105749076155016,3.9980093242686365e-06
2011-12-09,0.002018354874198325,4.397591442550919e-06
2011-12-12,-0.02114180996866155,3.9980093242686365e-06
2011-12-13,0.01688335188982104,4.397591442550919e-06
2011-12-14,-0.01491405355358888,4.797133808187581e-06
2011-12-15,-0.008686010377845221,4.797133808187581e-06
2011-12-16,-0.011348367280695881,4.397591442550919e-06
