Unnamed: 0,Period Ending,close,Current Ratio,Quick Ratio,Profit Margin,After Tax ROE,size,non linear size,book to price,EY-CETOP,EY-ETOP,Leverage-MLEV,Leverage-DTOA,Leverage-BLEV,momentum,Liq-STOM,Liq-STOQ,Liq-STOH,GICS Sector,beta,weighted alpha,std_res,half_year_return,three_m_rtn,VaR
10,2015-09-25,114.709999,111.0,108.0,23.0,45.0,27.215509865826025,664.1208112008862,0.1808401506711998,0.08089966071745848,0.08089966071750694,1.0808011762820529,0.5889200778384336,1.4468099367433287,-0.03263498620947892,-1.5603661425759647,-1.520945167432952,-1.6551213909270555,Information Technology,1.3101214914696706,-0.004199927926140304,0.010820936923134064,-0.06128497133018011,-0.05823380749920496,-0.024939606587150887
14,2014-12-31,65.440002,141.0,131.0,9.0,102.0,25.373276428367518,43.10781086733732,0.016656134149941697,0.016962102171084896,0.016962102171065772,1.1007590939564211,0.9366844764293244,7.0493685419058565,0.04622537556682682,-2.348329838284396,-1.873239481878733,-1.8468572864882165,Health Care,1.3371029809473771,0.009519302110133798,0.012332467084478884,0.042328803718557184,-0.12882035058617525,-0.02610572957854207
15,2015-12-31,59.240002,150.0,134.0,23.0,130.0,25.295291394207286,28.482229055944124,0.04077946622888577,0.05317352960251419,0.0531735296023798,1.3022538891083952,0.925636192271442,8.41191381495564,-0.000833675870857495,-2.392748683099808,-2.1405224826043026,-2.087214240981437,Health Care,1.0030970925689917,-0.05751167070459589,0.019559335141732758,0.05857523434924921,-0.0005064652090998878,-0.031129097829474456
16,2013-09-30,61.099998,97.0,50.0,0.0,19.0,23.369119805467065,-46.94726871444618,0.1645737135143033,0.030769231776406933,0.030769231776401264,1.0990818541418808,0.8773830864568579,1.6020515185936386,0.05695378586482853,-2.2988089401572633,-1.9708021293883258,-1.6522670498542473,Health Care,0.5876234098207477,0.05560603403693134,0.009482626933526877,0.07872350503186598,0.15188214899777908,-0.013777282844578964
17,2014-09-30,77.300003,97.0,48.0,0.0,14.0,23.578320863957977,-64.70390330007467,0.11262473122274565,0.015782664329262702,0.015782664329233927,1.1148539181733501,0.9091174824215454,2.0197930501267565,0.035572205273701404,-2.077785676756807,-2.069200283020179,-1.8945568946347,Health Care,0.7438512658881005,0.05308013768082093,0.0067497753751655275,0.4492884172333085,0.18085375753478303,-0.011711939629132806
18,2015-09-30,94.989998,94.0,49.0,0.0,22.0,23.77576658386485,-75.78435107893709,0.02911846892278829,-0.006527002979829518,-0.00652700297981629,1.1766433808649337,0.977957071960351,7.0663691258399774,-0.10523925248589304,-1.6574345689126686,-1.6537526216645901,-1.6928851219475562,Health Care,0.7055467902049188,-0.03747084427945432,0.008803486185214466,-0.08927251477571355,0.10559005380755987,-0.020621251223814332
20,2012-12-31,65.499944,236.0,207.0,31.0,22.0,25.366469877365127,41.794449403938415,0.2572378161483232,0.05740462923143873,0.057404629231407926,1.1741007411789388,0.6025730646240797,1.6768085026757982,-0.002234830146315075,-1.6309103663203206,-1.529782407515339,-1.6554249466616242,Health Care,0.6348018903038991,0.017418135162116228,0.008829509208342171,0.10924178984649764,0.15569881387050993,-0.011182366796598509
21,2013-12-31,38.330002,202.0,174.0,13.0,10.0,24.821040334925183,-40.68982837415388,0.4180802163255941,0.04278632701349715,0.04278632701341743,1.0562733213980815,0.4139873815565851,1.1345993405109054,0.04460015823707572,-2.5791620990615236,-2.4037667802434406,-2.363563141649485,Health Care,1.1819036084510068,-0.0418291104822245,0.009446102942894007,0.0902686882197398,0.006522305947179443,-0.015284198327476713
22,2014-12-31,45.02,130.0,104.0,11.0,11.0,24.950835856112786,-25.11461826784761,0.3140168876094893,0.033318525099955566,0.03331852509988263,1.0494963903957537,0.4776130269129032,1.1576233392176902,0.03067544573031108,-2.668441727190962,-2.6748938701190044,-2.7095558765343064,Health Care,0.9598395615133872,0.03197362092052599,0.0074502551223678,0.0975122167925365,0.024655730786317127,-0.017312488441005275
23,2015-12-31,44.91,154.0,126.0,22.0,21.0,24.93633494158333,-26.979602766499728,0.31394131997456703,0.06546426185704743,0.0654642618569379,1.086895926150143,0.4857565398695663,1.276790344632502,-0.003305921820996855,-2.5755270667139527,-2.435048243371381,-2.393809269469175,Health Care,1.1830313730198103,-0.040493176693917235,0.008680172146715239,-0.11957245602315728,-0.05767089735025599,-0.026165964187203183
24,2013-11-29,56.779999,265.0,265.0,7.0,4.0,24.06925106434372,-81.96369107904138,0.23687854745784484,0.010214864568771829,0.010214864568772537,1.0528134758810523,0.35217331910895044,1.2229559259284597,0.09610233452880462,-1.9431457063263524,-1.7830207848749742,-1.9114349681193687,Information Technology,1.2253001576569609,0.08296169384301763,0.012326893985922877,0.12874246440194553,0.2081718775655492,-0.0166881227278472
25,2014-11-28,73.68,185.0,185.0,6.0,4.0,24.323887865347533,-77.25234234426351,0.1850278191878478,0.00732899022801303,0.007328990228009751,1.0248787808672908,0.3717770789802064,1.1344596773419937,0.06224684040559399,-2.187085330441178,-1.9766634040467839,-2.079621918982332,Information Technology,1.5211670172680996,0.04632698352791575,0.01124995955413225,0.08333333333333312,0.07206837676438642,-0.023186837434287542
26,2015-11-27,92.169998,218.0,218.0,13.0,9.0,24.55304038019076,-64.92558408375044,0.15203588425508374,0.0136703919642051,0.013670391964195543,1.0414145880735073,0.4029252788050831,1.2724000868375425,0.07389835846061481,-2.522997729262695,-1.9572054748615608,-1.9942911218532398,Information Technology,1.0204510989444555,0.06817376044067734,0.011234723860008032,0.07920150980148664,-0.041228111993666265,-0.024067343692268182
28,2013-11-01,49.68,959.0,910.0,26.0,14.0,23.44968014527136,-54.51464439091433,0.3102221491153581,0.044082125603864736,0.044082125603905314,1.0570912836014297,0.2573234614329925,1.1840335506804829,0.0480893876492595,-2.054699815688435,-2.1715148269852285,-2.080749736258074,Information Technology,1.1511896714981156,0.007967641185762833,0.007407935160044023,0.02133659420289864,-0.04005638083735909,-0.020223837797952362
29,2014-10-31,49.619999,538.0,486.0,22.0,13.0,25.21436651194725,14.281134809829386,0.0533279384761194,0.007053607558516879,0.0070536075585056705,1.0097824812295504,0.306397665200614,1.1834400786734138,0.010019029898773422,-3.1972323735225143,-3.514911814787155,-3.6494292256893934,Information Technology,1.0366532592736224,-0.03432698620805194,0.010772839369461079,0.2448609682559648,0.08766630567646734,-0.022343150515529625
30,2015-10-30,60.119999,366.0,329.0,20.0,14.0,25.62964644729184,97.72850387748986,0.03753594267186575,0.005156354044516867,0.005156354044510208,1.0036651373249863,0.2813260710743518,1.0976434069346903,0.015447292296259747,-3.4823225501495836,-3.4920901616641102,-3.6411068240778546,Information Technology,1.3196185573639445,0.007033203685706342,0.01694034058464266,-0.06470390992521477,-0.14604123662743235,-0.029623213340782825
33,2013-12-31,43.400002,182.0,109.0,1.0,7.0,24.07985056963096,-81.9550406327362,0.7038435327784132,0.0467741913928944,0.0467741913929202,1.1863648296407932,0.538443956847687,1.2652808096844612,0.0850628091483601,-2.001694283226151,-1.9263554402370666,-2.0683726342541737,Consumer Staples,1.023930906300322,0.043185476992535485,0.011956932960654485,0.04423958321476574,0.0006911981248295582,-0.017870399277585713
